ID_1_individual_1_single-cell_1,human,blood,single-stem-cell clonal culture
ID_1_individual_1_single-cell_2,human,blood,single-stem-cell clonal culture
ID_1_individual_2_single-cell_1,human,blood,single-stem-cell clonal culture
ID_6_individual_1_single-cell_1,human,blood,iPSC based single-cell clonal culture
ID_6_individual_1_single-cell_2,human,blood,iPSC based single-cell clonal culture
ID_6_individual_1_single-cell_3,human,blood,iPSC based single-cell clonal culture
ID_6_individual_1_single-cell_4,human,blood,iPSC based single-cell clonal culture
ID_8_individual_1_single-cell_1,human,blood,single-stem-cell clonal culture
ID_8_individual_2_single-cell_1,human,blood,single-stem-cell clonal culture
ID_8_individual_2_single-cell_2,human,blood,single-stem-cell clonal culture
ID_8_individual_3_single-cell_1,human,blood,single-stem-cell clonal culture
ID_8_individual_3_single-cell_2,human,blood,single-stem-cell clonal culture
ID_8_individual_3_single-cell_3,human,blood,single-stem-cell clonal culture
ID_8_individual_4_single-cell_1,human,blood,single-stem-cell clonal culture
ID_8_individual_4_single-cell_2,human,blood,single-stem-cell clonal culture
ID_8_individual_5_single-cell_1,human,blood,single-stem-cell clonal culture
ID_8_individual_5_single-cell_2,human,blood,single-stem-cell clonal culture
ID_8_individual_5_single-cell_3,human,blood,single-stem-cell clonal culture
ID_8_individual_6_single-cell_1,human,blood,single-stem-cell clonal culture
ID_8_individual_6_single-cell_2,human,blood,single-stem-cell clonal culture
ID_8_individual_6_single-cell_3,human,blood,single-stem-cell clonal culture
ID_8_individual_7_single-cell_1,human,blood,single-stem-cell clonal culture
ID_8_individual_7_single-cell_2,human,blood,single-stem-cell clonal culture
ID_8_individual_7_single-cell_3,human,blood,single-stem-cell clonal culture
